,Media,Demographic,Genre,Theme
.hack,"Anime,Manga,Light novel,Original Video Animation,Games",,"Adventure,Comedy,Fantasy,Mystery,Science Fiction","Virtual Reality,MMORPG"
009-1,"Anime,Manga,Live Action",,"Action,Science Fiction","Androids,Alternate History,Espionage"
07-Ghost,"Anime,Manga,Audio Drama",,"Action,Fantasy,Supernatural",
11eyes,"Anime,Manga,Visual novel,Games",,"Action,Fantasy,Romance",
12-sai,"Anime,Manga,Light novel,TV drama,Games,Original Video Animation",,"Romance,Slice of Life",
18if,"Anime,Games",,"Fantasy,Supernatural",
"20 Seiki Denki Mokuroku","Anime,Novel",,,
"21 Emon","Anime,Manga",Kodomo,"Comedy,Science Fiction",Space
"25-sai no Joshikousei","Anime,Manga",,"Drama,Romance,Hentai",
"30-sai no Hoken Taiiku","Anime,Guide Book",Seinen,Romance,"Ecchi,Parody"
"3D Kanojo: Real Girl","Anime,Manga,Film,Live Action",,Romance,"School,Otaku"
"5 Centimeters per Second","Anime,Manga,Novel",,"Drama,Romance,Slice of Life",
"7 Seeds","Manga,Audio Drama,Anime","Shōjo,Josei","Action,Adventure,Drama,Horror,Mystery,Psychological,Romance,Science Fiction","Survival,Post-Apocalyptic"
"91 Days","Anime,Novel,Original Video Animation",,"Action,Drama",
"A Centaur's Life","Anime,Manga",,"Comedy,Fantasy,Slice of Life",
"A Channel","Anime,Manga",,"Comedy,Slice of Life",
"A Little Snow Fairy Sugar","Anime,Manga,Original Video Animation",,"Comedy,Fantasy",
"A Place Further Than the Universe","Anime,Manga",,Drama,
"ACCA: 13-Territory Inspection Dept.","Anime,Manga",Seinen,"Drama,Fantasy","Business,Military,Police,Politics"
AKB0048,"Anime,Manga,Games",,"Science Fiction,Slice of Life,Yuri","Idol,Space,Musical"
ALDNOAH.ZERO,"Anime,Manga",,"Action,Drama,Mecha,Science Fiction","Space,Robots,Alternate History"
"Aah! Harimanada","Anime,Manga,Games",,Sports,
"Absolute Duo","Anime,Manga,Light novel",,"Action,Comedy,Fantasy,Romance,Supernatural","Harem,Ecchi"
"Accel World","Anime,Manga,Light novel,Original Video Animation,Film,Games,Guide Book",Shōnen,"Action,Adventure,Drama,Science Fiction","Harem,School,Virtual Reality,MMORPG"
"Acchi Kocchi","Anime,Manga,Original Video Animation",,"Comedy,Romance,Slice of Life",
"Ace Attorney","Anime,Manga,Visual novel,Film,Live Action,Games,Audio Drama",,Adventure,
Acrobunch,Anime,,"Adventure,Mecha",
"Action Heroine Cheer Fruits","Anime,Manga",,"Comedy,Slice of Life",
"Active Raid","Anime,Manga,TV drama",,"Action,Mecha,Science Fiction","Crime,Police,Powered Suits"
"Actors: Songs Connection",Anime,,,"School,Music"
"Adventures of Kotetsu","Anime,Manga,Original Video Animation",,"Action,Adventure,Comedy,Romance,Science Fiction",Ecchi
"Africa no Salaryman","Manga,Anime",,"Slice of Life,Comedy","Anthropomorphism,Business"
"Afro Samurai","Anime,Manga,Film,Live Action,Games",Seinen,"Action,Adventure,Science Fiction",Samurai
"Agatha Christie's Great Detectives Poirot and Marple","Anime,Manga",,Mystery,"Historical,Education"
"Agent Aika","Anime,Manga,Original Video Animation",,"Action,Adventure,Comedy,Science Fiction","Ecchi,Espionage"
"Aguu: Genius Dolls","Anime,Manga",,"Action,Drama,Supernatural",
"Aho Girl","Anime,Manga",Shōnen,"Comedy,Slice of Life",
"Ai Mai Mi","Anime,Manga",,"Comedy,Slice of Life",
"Ai Yori Aoshi","Anime,Manga,Visual novel,Games",Seinen,Romance,
"Aikatsu Stars!","Anime,Film,Games",,"Comedy,Fantasy,Science Fiction","Music,Idol"
Aikatsu!,"Anime,Manga,Novel,Film,Games,Guide Book",,"Comedy,Fantasy,Science Fiction","Music,Idol"
"Aim for the Ace!","Anime,Manga,Original Video Animation,Film,Live Action,TV drama",Shōjo,"Romance,Sports",Tennis
Air,"Anime,Manga,Visual novel,Film,Games",,"Drama,Romance,Slice of Life,Supernatural",
"Air Gear","Anime,Manga,Original Video Animation",Shōnen,"Action,Comedy,Romance,Sports","Tournament,Figure Skating"
"Aishiteruze Baby","Anime,Manga",Shōjo,"Drama,Romance",Childcare
Aiura,"Anime,Manga",,"Comedy,Slice of Life",
"Ajin: Demi-Human","Anime,Manga,Original Video Animation,Film",,"Action,Adventure,Horror,Mystery,Supernatural",Tragedy
"Akage no Anne",Anime,,,
Akagi,"Anime,Manga,TV drama",,"Drama,Psychological",Gambling
"Akak ichi No Eleven","Anime,Manga",Shōnen,"Comedy,Sports",
"Akame ga Kill!","Anime,Manga,Guide Book",,"Action,Adventure,Fantasy,Psychological,Romance,Supernatural",Tragedy
"Akaneiro ni Somaru Saka","Anime,Manga,Light novel,Visual novel,Original Video Animation,Games,Audio Drama",,"Drama,Romance","Harem,Incest"
"Akanesasu Shōjo","Anime,Games",,"Science Fiction","Parallel World"
"Akashic Records of Bastard Magic Instructor","Anime,Manga,Light novel",,"Action,Comedy,Fantasy,Supernatural",
"Akatsuki no Yona","Anime,Manga,Novel,Audio Drama",Shōjo,"Action,Adventure,Comedy,Fantasy,Romance",Dragons
"Akazukin Chacha","Anime,Manga,Original Video Animation,Games",,"Action,Adventure,Comedy,Drama,Romance,Supernatural","Magical Girl,Magic"
"Aki Sora","Anime,Manga,Original Video Animation",Seinen,Romance,"Ecchi,Harem"
"Akiba's Trip","Anime,Manga,Games",,"Action,Comedy,Supernatural","Ecchi,Otaku,Underwear,Vampires"
Akikan!,"Anime,Manga,Light novel,Original Video Animation",,"Action,Comedy,Fantasy,Romance",
"Akkun to Kanojo","Anime,Manga",,"Comedy,Romance",
"Aku no Hana","Anime,Manga",Shōnen,"Drama,Psychological,Romance",School
"Akuma no Riddle","Anime,Manga,Original Video Animation,Guide Book",Seinen,"Action,Yuri",School
Akuma-kun,"Anime,Manga,Film,Live Action,Games",,"Adventure,Fantasy,Horror,Supernatural",
"Alice or Alice","Anime,Manga",,"Comedy,Slice of Life",Yonkoma
"Alice to Zouroku","Anime,Manga",,Fantasy,
"All Out!!","Anime,Manga",Seinen,"Comedy,Sports",Football
"All Purpose Cultural Cat Girl Nuku Nuku","Anime,Manga,Original Video Animation",,"Adventure,Comedy,Mecha",
"Allison & Lillia","Anime,Manga,Novel",Shōnen,"Action,Adventure",War
Amaenaideyo!!,"Anime,Manga,Audio Drama",,Comedy,Ecchi
Amagami,"Anime,Manga,Games",,"Drama,Romance",
"Amagi Brilliant Park","Anime,Manga,Light novel,Guide Book",,"Comedy,Slice of Life",
"Amai Choubatsu: Watashi wa Kanshu Senyou Pet","Anime,Manga",,"Drama,Romance,Hentai",
Amanchu!,"Anime,Manga",Shōnen,"Slice of Life,Sports",Watersports
Amatsuki,"Anime,Manga",,"Action,Fantasy",
Amnesia,"Anime,Visual novel,Games,Audio Drama",,"Fantasy,Mystery,Romance,Supernatural","Memory Loss"
"Android Kikaider","Anime,Manga,Original Video Animation,TV drama",,"Action,Adventure,Mecha,Science Fiction",
"Ange Vierge",Anime,,"Adventure,Fantasy","Card Games,School"
"Angel Beats!","Anime,Manga,Light novel,Original Video Animation,Guide Book",,"Action,Fantasy","Afterlife,School,Memory Loss"
"Angel Blade","Anime,Original Video Animation",,"Action,Hentai","Magical Girl,Parody"
"Angel Heart","Anime,Manga,Live Action,TV drama",,Action,
"Angel Tales","Anime,Original Video Animation",,Romance,"Harem,Magical Girl"
"Angel's 3Piece!","Anime,Manga,Light novel",,"Comedy,Drama",
"Angelic Layer","Anime,Manga",,"Action,Comedy,Drama,Science Fiction,Mecha",School
Angelique,"Anime,Manga,Games",,"Fantasy,Romance","Harem,Magical Girl"
"Angels of Death","Anime,Manga,Novel,Games",Shōjo,"Adventure,Horror","Memory Loss,Thriller,Female Protagonist"
"Angolmois: Genkou Kassenki","Anime,Manga",Seinen,"Action,Drama","Historical,Samurai,Military"
"Ani Tore! EX",Anime,,"Slice of Life",Exercise
"Anima Yell!","Anime,Manga",Seinen,Sports,"Cheerleading,Yonkoma"
"Anime Oyako Gekijō",Anime,,"Fantasy,Science Fiction,Supernatural",
Anime-Gatari,"Anime,Original Video Animation",,"Slice of Life","Otaku,Media Development,Shorts,School Life"
"Anne Happy","Anime,Manga,Guide Book",,"Comedy,Slice of Life",
"Ano Hi Mita Hana no Namae wo Boku-tachi wa Mada Shiranai.","Anime,Manga,Visual novel,Novel,Film,Live Action,TV drama,Games",Shōnen,"Drama,Romance,Slice of Life,Supernatural","Tragedy,Hikikomori"
"Ano Natsu de Matteru","Anime,Manga,Original Video Animation",Shōnen,"Comedy,Drama,Romance,Science Fiction,Slice of Life","Aliens,School Life"
"Anonymous Noise","Anime,Manga,Film,Live Action,Audio Drama",,Romance,Music
Another,"Anime,Manga,Novel,Original Video Animation,Film,Live Action",Seinen,"Horror,Mystery,Supernatural","Thriller,Gore,Suspense"
Anpanman,"Anime,Manga",,Comedy,
"AntiMagic Academy 35th Test Platoon","Anime,Manga,Light novel",Shōnen,"Action,Fantasy,Romance","Ecchi,Harem,Military"
"Anyamal Tantei Kiruminzoo","Anime,Manga",Shōjo,Comedy,Magic
"Ao Haru Ride","Anime,Manga,Light novel,Live Action,Audio Drama",Shōjo,"Comedy,Drama,Romance,Slice of Life",School
"Ao Oni","Anime,Manga,Novel,Film,Live Action,Games",,"Adventure,Horror","Puzzle,Demons"
"Ao no Exorcist","Anime,Manga,Light novel,Film,Games,Guide Book",,"Action,Fantasy,Supernatural",
"Ao no Kanata no Four Rhythm","Anime,Manga,Visual novel,Games",,"Drama,Romance,Science Fiction,Sports",
"Aoharu × Machinegun","Anime,Manga,Guide Book",,"Action,Comedy",
"Aoi Hana","Anime,Manga,Audio Drama",Shōjo,"Romance,Slice of Life,Yuri","School Life"
"Aoi Sekai no Chuushin de","Anime,Manga",Shōnen,"Action,Adventure,Fantasy",Parody
"Aquarian Age","Anime,Manga,Games",,"Drama,Fantasy,Romance",
"Araburu Kisetsu no Otome-domo yo.","Manga,Anime",Shōnen,Romance,"Coming of Age"
"Arad Senki ~Slap Up Party~","Anime,Manga,Games",,"Action,Adventure,Comedy",
"Arakawa Under the Bridge","Anime,Manga,Film,Live Action,TV drama",,"Comedy,Romance",
"Arashi no Yoru ni","Anime,Novel,Film,Audio Drama",,"Adventure,Drama",
"Arc the Lad","Anime,Manga,Light novel,Games",,"Action,Adventure,Fantasy,Horror,Science Fiction",
"Area 88","Anime,Manga,Original Video Animation,Film,Games",,"Action,Comedy,Romance","Military,Aviation"
"Argento Soma","Anime,Original Video Animation",,"Adventure,Mecha","Military,Aliens"
"Aria the Origination","Anime,Original Video Animation",,"Fantasy,Science Fiction,Slice of Life",
"Arifureta Shokugyou de Sekai Saikyou","Light novel,Manga,Anime",,"Adventure,Fantasy","Harem,Yonkoma,Alchemy,Vampires,Demihumans,Dragons,Gods,Demons"
Arion,"Anime,Manga,Film,Live Action",Seinen,"Adventure,Drama,Supernatural",Historical
"Armed Girl's Machiavellianism","Anime,Manga",,"Action,Comedy,Romance",School
"Armored Police Metal Jack","Anime,Novel,Games",,"Action,Mecha,Science Fiction",
"Armored Trooper Votoms","Anime,Manga,Light novel,Original Video Animation,Games",,"Action,Mecha,Science Fiction",
"Arpeggio of Blue Steel","Anime,Manga,Film,Guide Book",,"Science Fiction",Military
"Asatte no Houkou.","Anime,Manga",,"Drama,Fantasy,Romance",
"Ashita no Joe","Anime,Manga,Film,Live Action,TV drama,Games,Audio Drama",Shōnen,"Action,Drama,Sports",Boxing
"Ashita no Nadja","Anime,Manga",,"Adventure,Comedy,Romance",
"Ask Dr. Rin!","Anime,Manga",,"Comedy,Romance","Magical Girl,Occult"
"Asobi Asobase","Anime,Manga",Seinen,Comedy,"School Life,Musical"
"Asobi ni iku yo!","Anime,Manga,Light novel,Original Video Animation,Games,Audio Drama",,"Comedy,Romance,Science Fiction","Aliens,Kemonomimi"
"Asoko Araiyasan no Oshigoto ~Kataomoichuu no Aitsu to Onnayu de~","Manga,Anime",Seinen,"Hentai,Comedy,Romance",Shorts
"Assassin's Pride","Anime,Manga",Seinen,Fantasy,
"Assassination Classroom","Anime,Manga,Original Video Animation,Film,Live Action,Games,Guide Book",Shōnen,"Action,Comedy,Science Fiction,Supernatural","School Life,Tutoring,Assassins"
"Astro Boy","Anime,Manga,Live Action,Games",,"Action,Adventure,Science Fiction",
"Astro Fighter Sunred","Anime,Manga",,Comedy,
"Asu no Yoichi!","Anime,Manga,Audio Drama",Shōnen,"Comedy,Romance","Ecchi,Martial Arts"
"Asura Cryin'","Anime,Manga,Light novel",,"Action,Drama,Fantasy,Mecha,Romance,Science Fiction,Supernatural",
Atashin'chi,"Anime,Manga,Film",,Comedy,
Atelier,"Anime,Manga,Games",,Fantasy,Alchemy
"Attack No. 1","Anime,Manga,TV drama",Shōjo,"Drama,Sports","Volleyball,Golden Age"
"Attacker You!","Anime,Manga,Novel",Shōjo,"Romance,Sports",Volleyball
"Aura Battler Dunbine","Anime,Original Video Animation,Games",,"Fantasy,Mecha",
"Aura: Koga Maryuin's Last War","Anime,Manga,Light novel,Film",Shōnen,"Comedy,Romance",Chuunibyou
"Ayakashi: Ghost Guild","Anime,Novel,Games",,"Action,Adventure",
"Ayatsuri Sakon","Anime,Manga,Light novel",Shōnen,"Horror,Mystery",
Azuki-chan,"Anime,Film",Shōjo,"Comedy,Slice of Life","Elementary School"
"Azumanga Daioh","Anime,Manga,Original Video Animation,Film",,"Comedy,Slice of Life",School
"Azur Lane","Anime,Manga,Games",,Action,"Military,Historical"
"B Gata H Kei","Anime,Manga,Audio Drama",,"Comedy,Romance",School
"B't X","Anime,Manga,Light novel,Games",,"Mecha,Science Fiction",
B-Daman,"Anime,Manga,Games","Kodomo,Shōnen","Action,Adventure,Comedy,Mystery,Sports,Mecha","Toys,Tournament,Robots,Police,Space,Time Travel,Western"
B-Project,"Anime,Manga,Games",,Romance,"Idol,Music"
"BASToF Syndrome",Anime,,"Adventure,Mecha,Science Fiction",MMORPG
BBK/BRNK,Anime,,Mecha,
"Babel Nisei","Anime,Manga,Original Video Animation",Shōnen,"Action,Adventure,Mystery,Science Fiction,Supernatural","Reincarnation,Aliens,Superpower"
"Baby Steps","Anime,Manga,Guide Book",,"Comedy,Romance,Sports","Tennis,School"
"Baby and Me","Anime,Manga",Shōjo,"Slice of Life",Childcare
Babylon,"Anime,Manga,Novel",,Mystery,"Thriller,Crime,Suspense"
Baccano!,"Anime,Manga,Light novel,Audio Drama","Shōnen,Seinen","Adventure,Comedy,Fantasy","Alchemy,Gangs,Violence"
"Back Street Girls","Anime,Manga",Seinen,Comedy,"Gender Bender,Idol,Crime"
"Baka and Test","Anime,Manga,Light novel,Original Video Animation",,"Comedy,Fantasy,Romance",
Bakegyamon,"Anime,Manga",,Action,
Bakemonogatari,"Anime,Light novel,Guide Book",,"Action,Comedy,Romance,Supernatural",Harem
Bakugan,"Anime,Manga,Games,Guide Book",Kodomo,"Action,Adventure,Fantasy","Toys,Another World"
Bakuman,"Anime,Manga,Novel,Film,Live Action,Games,Guide Book",Shōnen,"Comedy,Drama,Romance,Slice of Life","Otaku,Media Development"
"Bakumatsu Gijinden Roman",Anime,,"Action,Comedy,Fantasy","Historical,Feudal Japan"
"Bakumatsu Rock","Anime,Guide Book",,,Music
Bakuon!!,"Anime,Manga,Original Video Animation",Seinen,"Comedy,Sports","Moe,Bikes,Female Protagonist,School Life"
"Bakusou Kyoudai Let's & Go!!","Anime,Manga,Film",Kodomo,"Action,Sports","Toys,Hobby"
"Bakutsuri Bar Hunter","Anime,Manga,Games","Kodomo,Shōnen",Adventure,"Fishing,Toys"
"Balala the Fairies","Anime,Live Action,Film",,,"Magical Girl"
"Bamboo Blade","Anime,Manga,Games",,"Comedy,Slice of Life,Sports",
"BanG Dream!","Anime,Manga,Games",Shōnen,"Slice of Life","Music,School Life"
"Banana Fish","Anime,Manga",Shōjo,"Action,Adventure,Drama",Crime
Bananya,Anime,,"Comedy,Slice of Life",
Barakamon,"Anime,Manga,Guide Book",,"Comedy,Slice of Life",
"Barefoot Gen","Anime,Manga,Novel,Film,Live Action,TV drama",Shōnen,"Adventure,Drama",
"Bari Bari","Anime,Manga,Original Video Animation",Shōnen,"Action,Drama,Sports",
Barom-1,"Anime,Manga,TV drama",,Supernatural,
Bartender,"Anime,Manga,TV drama",Seinen,"Drama,Slice of Life",
Basilisk,"Anime,Manga,Novel,Film,Live Action",,"Action,Fantasy","Historical,Tragedy"
Basquash!,"Anime,Manga",Seinen,"Science Fiction,Sports,Mecha","Basketball,Space"
Battery,"Anime,Manga,Light novel,Film,Live Action,TV drama,Guide Book",,Sports,
"Battle Athletes","Anime,Manga,Original Video Animation,Games",,"Action,Comedy,Science Fiction,Sports",
"Battle Girl High School","Anime,Games",,Action,
"Battle Girls","Anime,Games",,"Comedy,Fantasy","Ecchi,Samurai"
"Battle Programmer Shirase",Anime,,"Comedy,Science Fiction",
"Battle Spirits","Anime,Manga,Games,Audio Drama",Shōnen,,"School,Tournament,Card Games,Another World"
"Beast God Liger","Anime,Manga",,"Action,Science Fiction",Superhero
"Beast Saga","Anime,Manga,Games",,"Action,Mecha",
Beastars,"Manga,Anime",Shōnen,"Drama,Fantasy,Psychological,Mystery,Slice of Life,Romance","School Life,Anthropomorphism"
Beatless,"Anime,Manga,Novel",,"Science Fiction,Romance","Androids,Boy Meets Girl"
Beck,"Anime,Manga,Film,Live Action,Games",Shōnen,"Comedy,Drama,Romance,Slice of Life",Music
Beelzebub,"Anime,Manga",Shōnen,"Action,Comedy,Supernatural","Demons,School,Delinquent,Childcare"
"Beelzebub-jou no Okinimesu mama","Anime,Manga",Shōnen,Comedy,"Demons,Yonkoma"
"Beet the Vandel Buster","Anime,Manga",Shōnen,"Action,Fantasy",
Ben-To,"Anime,Manga,Light novel",,"Action,Comedy",
"Bermuda Triangle: Colorful Pastrale",Anime,,Fantasy,"Mermaid,Music"
"Bernard-jou Iwaku","Anime,Manga",,Comedy,School
Berserk,"Anime,Manga,Film,Games,Audio Drama,Guide Book",Seinen,"Action,Drama,Horror","Dark Fantasy"
"Best Student Council",Anime,,,
Betterman,Anime,,"Action,Horror,Mecha",
"Bewitched Agnes","Anime,Manga",,"Comedy,Romance","Magical Girl"
Beyblade,"Anime,Manga,Film,Games,Guide Book","Kodomo,Shōnen","Action,Adventure,Comedy,Sports","Toys,Hobby,Tournament"
"Bible Black","Anime,Visual novel,Original Video Animation,Games",,"Romance,Supernatural,Hentai,Yuri",
"Big Order","Anime,Manga,Original Video Animation",,"Action,Psychological,Romance,Supernatural","School Life"
"Big Windup!","Anime,Manga,Games",,"Comedy,Sports",Baseball
"Big X","Anime,Manga",Shōnen,"Action,Science Fiction","World War,Superpower"
"Bihada Ichizoku","Anime,Manga",,"Comedy,Drama",
"Bikini Warriors","Anime,Manga,Games",,"Adventure,Fantasy",Ecchi
"Binan Koukou Chikyuu Boueibu LOVE!","Anime,Manga,Light novel,Games",,"Comedy,Fantasy,Slice of Life","Transformation,School,Parody,Superpower"
"Binbou Shimai Monogatari","Anime,Manga",,"Slice of Life",
"Binbō-gami ga!","Anime,Manga",,Comedy,Parody
Biohazard,"Anime,Manga,Novel,Film,Live Action,Games,Audio Drama,Guide Book",,"Action,Horror,Science Fiction",
"Birdy the Mighty","Anime,Manga,Original Video Animation",,"Comedy,Science Fiction",
"Black Blood Brothers","Anime,Manga,Light novel",,"Comedy,Fantasy,Supernatural",
"Black Bullet","Anime,Manga,Light novel",,"Action,Adventure,Comedy,Horror,Mystery,Science Fiction,Supernatural",
"Black Cat","Anime,Manga,Light novel,Games,Audio Drama",,"Adventure,Fantasy,Science Fiction",
"Black Clover","Anime,Manga,Original Video Animation",Shōnen,"Action,Adventure,Comedy,Fantasy","Magic,Knights"
"Black Fox","Anime,Film",,"Science Fiction,Action",Ninja
"Black Jack","Anime,Manga,Original Video Animation,Film",Shōnen,"Action,Drama,Romance","Medical,Suspense"
"Black Lagoon","Anime,Manga,Light novel,Original Video Animation",Seinen,"Action,Adventure,Comedy","Crime,Pirates"
"Black Rock Shooter","Anime,Manga,Original Video Animation,Games",,"Action,Drama,Fantasy","Fighting,Girls with Guns,School"
"Blade of the Immortal","Anime,Manga,Novel",,"Action,Adventure",
